,Content ID,Reaction Type,Datetime,Category,Score,Content Type,Sentiment,,,Datetime,Month,countpostbymonth,,Sentiment,,,,,,,,,,,,,,
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,studying,0,photo,negative,,,07-11-2020,11,2034,,negative,,,Row Labels,Sum of Score,Count of Score2,,Row Labels,Count of countpostbymonth,,Row Labels,Count of Content Type,,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,studying,10,photo,negative,,,17-06-2021,6,2021,,positive,,,animals,74965,1897,,1,2126,,audio,5660,,,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,studying,15,photo,negative,,,18-04-2021,4,1974,,neutral,,,cooking,64756,1664,,2,1914,,GIF,6079,,,
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,studying,0,photo,negative,,,06-01-2021,1,2126,,,,,culture,66579,1676,,3,2012,,photo,6589,,,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,studying,30,photo,positive,,,23-08-2020,8,2114,,,,,dogs,52511,1338,,4,1974,,video,6245,,,
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,studying,35,photo,neutral,,,07-12-2020,12,2092,,,,,education,57436,1433,,5,2138,,(blank),,,,
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,studying,70,photo,positive,,,11-04-2021,4,1974,,,,,fitness,55323,1395,,6,2021,,,,,,
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,studying,5,photo,negative,,,27-01-2021,1,2126,,,,,food,66676,1699,,7,2070,,Content Type,Count,Positive Sentiment,Negative Sentiment,Neutral Sentiment
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,studying,35,photo,neutral,,,01-04-2021,4,1974,,,,,healthy eating,69339,1717,,8,2114,,audio,5660,3216,1771,673
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,studying,65,photo,positive,,,04-08-2020,8,2114,,,,,public speaking,49264,1217,,9,2022,,GIF,6079,3381,1924,774
